PARK_NAME,ACCESS_TYP,GIS_ACRES,AGNCY_NAME,AGNCY_TYP,TYPE,CENTER_LAT,CENTER_LON,ADDRESS,CITY,ZIP,IS_COUNTY,Shape__Area,Shape__Length
Tragniew Park,Open Access,4.25640671,"Compton, City of",City Agency,Local Park,33.88869055,-118.2513487,2121 W Alondra Blvd,Compton,90220,No,185408.3369,1855.540364
Campfire Site,Open Access,1.26151411,"Compton, City of",City Agency,Local Park,33.88679624,-118.2302583,450 W Raymond St,Compton,90220,No,54951.33789,940.2140225
Compton Creek & Bike Path,Open Access,0.02014276,"Los Angeles - Flood Control District, County of",Flood District,Regional Open Space,33.89601157,-118.2361776,Los Angeles River Bicycle Path,Compton,90220,No,877.4160156,136.7624506
Martin Luther King Jr. Memorial,Open Access,4.08701266,"Los Angeles, County of",County Agency,Regional Open Space,33.89458444,-118.2257053,2270 E 122nd St,Compton,90220,No,178029.5605,1882.519775
Roy Campanella Park,Open Access,9.94920966,"Los Angeles, County of",County Agency,Local Park,33.89813357,-118.2599075,14812 Stanford Ave.,Compton,90220,Yes,433385.8369,2639.661628
Gonzales Park,Open Access,14.33178617,"Compton, City of",City Agency,Local Park,33.90500428,-118.2442651,1101 W Cressey St,Compton,90222,No,624290.1104,3327.644755
FIG/OLEANDER PARK,Open Access,0.27279459,"Compton, City of",City Agency,Local Park,33.90750942,-118.2305059,2121 W Alondra Blvd,Compton,90222,No,11882.88379,438.0414149
Sibrie Park,Open Access,3.6571219,"Compton, City of",City Agency,Local Park,33.91536736,-118.245572,Compton,Compton,90222,No,159303.5918,1643.702312
Mona Park,Open Access,8.06480898,"Los Angeles, County of",County Agency,Local Park,33.92210557,-118.2302985,2291 E. 121st St.,Compton,90222,Yes,351301.6768,2971.537598
Compton Creek & Bike Path,Open Access,0.85166868,United States Army Corps of Engineers,Federal Agency,Natural Areas,33.90885119,-118.2460925,Los Angeles River Bicycle Path,Compton,90222,No,37098.53906,2042.139771
El Marino Park/ El Marino Elementary,Open Access,1.65043868,"Culver City, City of",City Agency,Local Park,33.99251602,-118.3992332,11450 Port Rd,Culver City,90230,No,71892.8252,1215.415276
Fox Hills Park,Open Access,9.99612767,"Culver City, City of",City Agency,Local Park,33.98349964,-118.3859688,Green Valley Cir & Buckingham Parkway,Culver City,90230,No,435429.5762,2795.870025
Fox Hills Parkette,Open Access,0.12623348,"Culver City, City of",City Agency,Local Park,33.98727801,-118.3821587,Green Valley Cir & Buckingham Parkway,Culver City,90230,No,5498.705078,371.2768219
Lindberg Park,Open Access,4.17205815,"Culver City, City of",City Agency,Local Park,34.00288167,-118.3984383,5041 Rhoda Way,Culver City,90230,No,181734.1309,2604.109724
Blanco Park/ El Rincon Elementary,Open Access,2.75091349,"Culver City, City of",City Agency,Local Park,33.99589466,-118.3925367,5801 Sawtelle Blvd,Culver City,90230,No,119829.3125,1438.260213
Veterans Park/ Paddle Tennis Park,Open Access,12.95311724,"Culver City, City of",City Agency,Local Park,34.01184851,-118.4026883,Culver & Elenda,Culver City,90230,No,564235.5273,4460.404543
Culver Boulevard Median Bicycle Path,Open Access,14.08414834,"Culver City, City of",City Agency,Natural Areas,34.00728956,-118.4079232,Culver Boulevard Median Bicycle Path,Culver City,90230,No,613503.0508,21273.65996
